[18-Jun-2015 15:45:00 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/learning-laravel-5/app/Http/Controllers/PagesController.php on line 19
[18-Jun-2015 15:45:00 UTC] PHP Stack trace:
[18-Jun-2015 15:45:00 UTC] PHP   1. {main}() /home/ubuntu/workspace/learning-laravel-5/public/index.php:0
[18-Jun-2015 15:45:00 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/learning-laravel-5/public/index.php:54
[18-Jun-2015 15:45:00 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:86
[18-Jun-2015 15:45:00 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:118
[18-Jun-2015 15:45:00 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 15:45:00 UTC] PHP   6. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 15:45:00 UTC] PHP   7. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP   8. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP   9. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:42
[18-Jun-2015 15:45:00 UTC] PHP  10. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  11. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  12. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[18-Jun-2015 15:45:00 UTC] PHP  13. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  14. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  15. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[18-Jun-2015 15:45:00 UTC] PHP  16. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  17. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  18. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:61
[18-Jun-2015 15:45:00 UTC] PHP  19. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  20. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  21. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:54
[18-Jun-2015 15:45:00 UTC] PHP  22. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  23. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 15:45:00 UTC] PHP  24. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[18-Jun-2015 15:45:00 UTC] PHP  25. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 15:45:00 UTC] PHP  26. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 15:45:00 UTC] PHP  27. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:229
[18-Jun-2015 15:45:00 UTC] PHP  28. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:629
[18-Jun-2015 15:45:00 UTC] PHP  29. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:669
[18-Jun-2015 15:45:00 UTC] PHP  30. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:704
[18-Jun-2015 15:45:00 UTC] PHP  31. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 15:45:00 UTC] PHP  32. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
